PRO_COM,dist_romita_km
16194,45.21627578149725
16195,45.21627578149725
40037,101.63574126198984
40038,101.63574126198984
40039,101.63574126198984
40040,101.63574126198984
40041,101.63574126198984
40042,101.63574126198984
40043,101.63574126198984
40044,101.63574126198984
40045,101.63574126198984
40046,101.63574126198984
40048,101.63574126198984
40049,101.63574126198984
40050,101.63574126198984
40051,101.63574126198984
58116,0
58117,0
58118,0
58119,0
59001,23.894686762275356
59002,23.894686762275356
59003,23.894686762275356
59004,23.894686762275356
59005,23.894686762275356
59006,23.894686762275356
59007,23.894686762275356
59008,23.894686762275356
59009,23.894686762275356
59010,23.894686762275356
59011,23.894686762275356
59012,23.894686762275356
59013,23.894686762275356
59014,23.894686762275356
59015,23.894686762275356
59016,23.894686762275356
59017,23.894686762275356
59018,23.894686762275356
59019,23.894686762275356
60030,11.662775334163724
60031,11.662775334163724
60032,11.662775334163724
60033,11.662775334163724
60034,11.662775334163724
60035,11.662775334163724
60036,11.662775334163724
60037,11.662775334163724
60038,11.662775334163724
60039,11.662775334163724
60040,11.662775334163724
60041,11.662775334163724
60042,11.662775334163724
60043,11.662775334163724
60044,11.662775334163724
60045,11.662775334163724
60046,11.662775334163724
60047,11.662775334163724
60048,11.662775334163724
60049,11.662775334163724
60050,11.662775334163724
60051,11.662775334163724
15240,0
15241,0
15242,0
15243,0
15244,0
15245,0
15246,0
15247,0
15248,0
15249,0
16001,45.21627578149725
16002,45.21627578149725
16003,45.21627578149725
16004,45.21627578149725
16005,45.21627578149725
16006,45.21627578149725
16007,45.21627578149725
16008,45.21627578149725
16009,45.21627578149725
16031,45.21627578149725
16032,45.21627578149725
16033,45.21627578149725
16034,45.21627578149725
16035,45.21627578149725
16036,45.21627578149725
16037,45.21627578149725
16038,45.21627578149725
16039,45.21627578149725
16040,45.21627578149725
16041,45.21627578149725
16042,45.21627578149725
16043,45.21627578149725
16044,45.21627578149725
16045,45.21627578149725
16046,45.21627578149725
16047,45.21627578149725
16048,45.21627578149725
16049,45.21627578149725
16050,45.21627578149725
16051,45.21627578149725
16052,45.21627578149725
16053,45.21627578149725
16054,45.21627578149725
16055,45.21627578149725
16056,45.21627578149725
16057,45.21627578149725
16058,45.21627578149725
16059,45.21627578149725
16060,45.21627578149725
16061,45.21627578149725
16062,45.21627578149725
16063,45.21627578149725
16064,45.21627578149725
16065,45.21627578149725
16066,45.21627578149725
16067,45.21627578149725
16068,45.21627578149725
16069,45.21627578149725
16070,45.21627578149725
16071,45.21627578149725
16072,45.21627578149725
16073,45.21627578149725
16074,45.21627578149725
16075,45.21627578149725
16076,45.21627578149725
16077,45.21627578149725
16078,45.21627578149725
16079,45.21627578149725
16080,45.21627578149725
16081,45.21627578149725
16082,45.21627578149725
16084,45.21627578149725
16085,45.21627578149725
16086,45.21627578149725
16087,45.21627578149725
16088,45.21627578149725
16089,45.21627578149725
16090,45.21627578149725
16091,45.21627578149725
16112,45.21627578149725
16113,45.21627578149725
16114,45.21627578149725
16115,45.21627578149725
16116,45.21627578149725
16117,45.21627578149725
16118,45.21627578149725
16119,45.21627578149725
16120,45.21627578149725
16121,45.21627578149725
16122,45.21627578149725
16123,45.21627578149725
16124,45.21627578149725
16125,45.21627578149725
16126,45.21627578149725
16127,45.21627578149725
16128,45.21627578149725
16129,45.21627578149725
16130,45.21627578149725
16131,45.21627578149725
16132,45.21627578149725
16133,45.21627578149725
16134,45.21627578149725
16135,45.21627578149725
16136,45.21627578149725
16137,45.21627578149725
16138,45.21627578149725
16139,45.21627578149725
16140,45.21627578149725
16141,45.21627578149725
16142,45.21627578149725
16143,45.21627578149725
16144,45.21627578149725
16145,45.21627578149725
16146,45.21627578149725
16147,45.21627578149725
16148,45.21627578149725
16149,45.21627578149725
16150,45.21627578149725
16151,45.21627578149725
16152,45.21627578149725
16153,45.21627578149725
16154,45.21627578149725
16155,45.21627578149725
16156,45.21627578149725
16157,45.21627578149725
16158,45.21627578149725
16159,45.21627578149725
16160,45.21627578149725
16161,45.21627578149725
16162,45.21627578149725
16163,45.21627578149725
16164,45.21627578149725
16165,45.21627578149725
16166,45.21627578149725
16167,45.21627578149725
16168,45.21627578149725
16169,45.21627578149725
16170,45.21627578149725
16171,45.21627578149725
16172,45.21627578149725
16173,45.21627578149725
16174,45.21627578149725
16196,45.21627578149725
16197,45.21627578149725
16198,45.21627578149725
16199,45.21627578149725
16200,45.21627578149725
16201,45.21627578149725
16202,45.21627578149725
16203,45.21627578149725
16204,45.21627578149725
16205,45.21627578149725
16206,45.21627578149725
16207,45.21627578149725
16208,45.21627578149725
16209,45.21627578149725
16210,45.21627578149725
16211,45.21627578149725
16212,45.21627578149725
16213,45.21627578149725
16214,45.21627578149725
16215,45.21627578149725
16216,45.21627578149725
16217,45.21627578149725
16218,45.21627578149725
16219,45.21627578149725
16220,45.21627578149725
16221,45.21627578149725
16222,45.21627578149725
16223,45.21627578149725
16224,45.21627578149725
16225,45.21627578149725
16226,45.21627578149725
16227,45.21627578149725
16228,45.21627578149725
16229,45.21627578149725
16230,45.21627578149725
16231,45.21627578149725
16232,45.21627578149725
