cohort,ring,outcome,pre_year,post_year,estimate,se,lo,hi,p,n_tr,n_ct
Spillover,R1 0-15 min (donut),lUT,1951,1961,0.13217006500735753,0.07050998159966995,-0.0060294989279955635,0.27036962894271066,0.062119921464003754,159,90
Spillover,R2 15-30 min (donut),lUT,1951,1961,0.030287684467144856,0.04138365171460199,-0.050824272893475034,0.11139964182776475,0.4645915591050992,421,90
Spillover,R3 30-45 min (near control),lUT,1951,1961,0.020968198156265522,0.043899833233249766,-0.06507547498090402,0.10701187129343506,0.6331739095676479,320,90
Spillover,R4 45-60 min (control),lUT,1951,1961,-0.04834572533825626,0.04435308368170427,-0.13527776935439662,0.038586318677884104,0.2769657381907925,135,90
Spillover,R1 0-15 min (donut),lUT,1951,1971,0.253822442728969,0.059898355690437124,0.13642166557571223,0.37122321988222573,3.261806236725534e-5,159,90
Spillover,R2 15-30 min (donut),lUT,1951,1971,0.11670919644668232,0.0409806550016028,0.03638711264354083,0.1970312802498238,0.004584148717911206,421,90
Spillover,R3 30-45 min (near control),lUT,1951,1971,0.04766699815277781,0.05228485156012516,-0.0548113109050675,0.15014530721062314,0.36249662542591254,320,90
Spillover,R4 45-60 min (control),lUT,1951,1971,-0.032383395750246756,0.06215757606050446,-0.1542122448288355,0.089445453328342,0.6029288318817101,135,90
Spillover,R1 0-15 min (donut),lUT,1951,1981,0.47589210664276727,0.08322627168147058,0.3127686141470849,0.6390155991384496,3.299444901148138e-8,159,90
Spillover,R2 15-30 min (donut),lUT,1951,1981,0.29918190744415396,0.04789030096517398,0.20531691755241296,0.39304689733589493,9.024114615395828e-10,421,90
Spillover,R3 30-45 min (near control),lUT,1951,1981,0.17441206060354064,0.06894143768541708,0.039286842740123173,0.3095372784669581,0.011800726037843639,320,90
Spillover,R4 45-60 min (control),lUT,1951,1981,0.06157431479376244,0.05856514560330293,-0.05321337058871129,0.17636200017623618,0.2943033153806609,135,90
Spillover,R1 0-15 min (donut),lUT,1951,1991,0.5680490305447152,0.08162112171385873,0.40807163198555213,0.7280264291038783,3.463437898503211e-11,159,90
Spillover,R2 15-30 min (donut),lUT,1951,1991,0.39712824235573596,0.05622664826811078,0.28692401175023885,0.5073324729612331,5.565314767174198e-12,421,90
Spillover,R3 30-45 min (near control),lUT,1951,1991,0.22865985318254983,0.07086712364843141,0.08976029083162426,0.3675594155334754,0.00135768899592275,320,90
Spillover,R4 45-60 min (control),lUT,1951,1991,0.054337479746669026,0.08096635640824808,-0.10435657881349719,0.21303153830683524,0.5028938689283196,135,90
A,R0 inner (casello),lAT,1951,1961,0.3381716942711336,0.08044294887615161,0.18050351447387644,0.4958398740683907,6.026563355436642e-5,19,90
A,R0 inner (casello),lAT,1951,1971,0.6587048938056215,0.1335926736902394,0.3968632533727523,0.9205465342384906,3.5672835470479593e-6,19,90
A,R0 inner (casello),lAT,1951,1981,0.6354273021853937,0.14857069032588216,0.3442287491466646,0.9266258552241227,4.588801862872893e-5,19,90
A,R0 inner (casello),lAT,1951,1991,0.7582282470092213,0.16107847135009343,0.4425144431630382,1.0739420508554045,8.735532864958662e-6,19,90
B,R0 inner (casello),lAT,1961,1971,0.2477114812890412,0.1771559848301149,-0.099514248977984,0.5949372115560664,0.16489752125994125,34,90
B,R0 inner (casello),lAT,1961,1981,0.4164936156894947,0.2567728248178976,-0.08678112095358459,0.919768352332574,0.10771238006551534,34,90
B,R0 inner (casello),lAT,1961,1991,0.6775808790939332,0.12663091948962327,0.42938427689427155,0.9257774812935948,4.953587586216575e-7,34,90
B,R0 inner (casello),lAT,1961,1951,-0.3708447555781022,0.14596506375903115,-0.6569362805458032,-0.08475323061040113,0.012486119640367352,34,90
Spillover,R1 0-15 min (donut),lAT,1951,1961,0.3093073983105362,0.10263971334852706,0.10813356014742317,0.5104812364736493,0.0028689577363512487,159,90
Spillover,R2 15-30 min (donut),lAT,1951,1961,0.14550566597230635,0.06092617810722138,0.026090356882152443,0.26492097506246026,0.017304437719301194,421,90
Spillover,R3 30-45 min (near control),lAT,1951,1961,0.09572288004825624,0.04919146487059002,-6.923910981001952e-4,0.1921381511946127,0.05237628380783404,320,90
Spillover,R4 45-60 min (control),lAT,1951,1961,0.03221805871429796,0.06587944555080255,-0.09690565456527504,0.16134177199387095,0.6253246283773511,135,90
Spillover,R1 0-15 min (donut),lAT,1951,1971,0.5534616422824151,0.0988003190747605,0.3598130168958845,0.7471102676689457,5.98182414176619e-8,159,90
Spillover,R2 15-30 min (donut),lAT,1951,1971,0.36579143836833417,0.0790922949277508,0.2107705403099426,0.5208123364267258,4.793235246902462e-6,421,90
Spillover,R3 30-45 min (near control),lAT,1951,1971,0.23735002458808607,0.06943345825515902,0.10126044640797438,0.37343960276819776,6.958235787436835e-4,320,90
Spillover,R4 45-60 min (control),lAT,1951,1971,0.113437442188282,0.08954962651673472,-0.06207982578451804,0.28895471016108204,0.20665951422485737,135,90
Spillover,R1 0-15 min (donut),lAT,1951,1981,0.7676713644213442,0.14296776984454523,0.48745453552603557,1.0478881933166528,1.9137511178716377e-7,159,90
Spillover,R2 15-30 min (donut),lAT,1951,1981,0.5368174031204576,0.08007347520669189,0.37987339171534146,0.6937614145255737,5.550602753947783e-11,421,90
Spillover,R3 30-45 min (near control),lAT,1951,1981,0.3476196359260282,0.08387424194594385,0.18322612171197822,0.5120131501400782,4.172932572376029e-5,320,90
Spillover,R4 45-60 min (control),lAT,1951,1981,0.17469571085353003,0.08495001197010407,0.008193687392126059,0.341197734314934,0.040987132980743926,135,90
Spillover,R1 0-15 min (donut),lAT,1951,1991,0.81439266286801,0.13709424962819114,0.5456879335967555,1.0830973921392646,1.0325424035655588e-8,159,90
Spillover,R2 15-30 min (donut),lAT,1951,1991,0.6124532096930109,0.09181785642927477,0.4324902110916323,0.7924162082943894,6.857308862277484e-11,421,90
Spillover,R3 30-45 min (near control),lAT,1951,1991,0.40556877448633427,0.08880363847158172,0.2315136430820341,0.5796239058906345,6.629177848630986e-6,320,90
Spillover,R4 45-60 min (control),lAT,1951,1991,0.18103634855421988,0.09842881446439067,-0.011884127795985827,0.3739568249044256,0.06730213538118986,135,90
