term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_time,outcome,sample
E2,0.43686640864221005,0.13420703919367907,3.255167622107751,0.0011487307909423907,0.17382061182259906,0.699912205461821,2,log Units,donut30 (n_ctrl=554)
E3,0.36912164120924223,0.12180738075656247,3.0303717140667232,0.0024681423186226807,0.1303791749263798,0.6078641074921047,3,log Units,donut30 (n_ctrl=554)
ref,0,NA,NA,NA,0,0,-1,log Units,donut30 (n_ctrl=554)
Em2,-0.09317808737110828,0.0991356988125588,-0.9399044792863678,0.34735948028138586,-0.28748405704372354,0.10112788230150699,-2,log Emp,donut30 (n_ctrl=554)
E0,0.2901779405374153,0.08007001494131401,3.6240525338991936,2.9594288245927215e-4,0.13324071125243986,0.44711516982239075,0,log Emp,donut30 (n_ctrl=554)
E1,0.4081768775104909,0.11841644612155874,3.446961050422698,5.765155467368369e-4,0.17608064311223579,0.640273111908746,1,log Emp,donut30 (n_ctrl=554)
E2,0.5414239175978754,0.09924158324143148,5.455615478047323,5.3715508206547937e-8,0.34691041444466975,0.7359374207510812,2,log Emp,donut30 (n_ctrl=554)
E3,0.45349834510325854,0.10336066962723257,4.387532963348515,1.1951067137456931e-5,0.2509114326338827,0.6560852575726344,3,log Emp,donut30 (n_ctrl=554)
ref,0,NA,NA,NA,0,0,-1,log Emp,donut30 (n_ctrl=554)
Em2,-0.15803593770111968,0.04838944854686318,-3.26591731145827,0.0011230949860335504,-0.2528792568529715,-0.06319261854926785,-2,log Pop,donut45 (n_ctrl=234)
E0,0.24587644994660005,0.03805314321445337,6.461396593730294,1.5251251118074331e-10,0.17129228924627143,0.32046061064692866,0,log Pop,donut45 (n_ctrl=234)
E1,0.4676921387432687,0.05700153552144542,8.204904209419254,6.09349037082154e-16,0.3559691291212357,0.5794151483653017,1,log Pop,donut45 (n_ctrl=234)
E2,0.5510013384743199,0.07558975095857239,7.289365707479323,5.755874532956394e-13,0.40284542659551803,0.6991572503531217,2,log Pop,donut45 (n_ctrl=234)
E3,0.6432897058319558,0.09317570191970115,6.904050010659893,8.314855049817233e-12,0.4606653300693415,0.82591408159457,3,log Pop,donut45 (n_ctrl=234)
ref,0,NA,NA,NA,0,0,-1,log Pop,donut45 (n_ctrl=234)
Em2,-0.06487579138629891,0.06222287073679063,-1.0426357803504505,0.29733369162913487,-0.18683261803040854,0.05708103525781072,-2,log Units,donut45 (n_ctrl=234)
E0,0.18918455711794296,0.051200909176219694,3.694945268780694,2.3016282099049996e-4,0.08883077513255236,0.2895383391033336,0,log Units,donut45 (n_ctrl=234)
E1,0.3394988675513648,0.07982413003808143,4.253085719686531,2.277631973856599e-5,0.18304357267672522,0.49595416242600443,1,log Units,donut45 (n_ctrl=234)
E2,0.5900754747452354,0.11006391123158,5.361207576057214,9.964154889191458e-8,0.37435020873133856,0.8058007407591321,2,log Units,donut45 (n_ctrl=234)
E3,0.5749344617031533,0.10625494433580067,5.41089607920899,7.609736888642463e-8,0.366674770804984,0.7831941526013226,3,log Units,donut45 (n_ctrl=234)
ref,0,NA,NA,NA,0,0,-1,log Units,donut45 (n_ctrl=234)
Em2,-0.1203450138767635,0.09839256351386523,-1.223110869144138,0.22153559923487523,-0.31319443836393934,0.07250441061041235,-2,log Emp,donut45 (n_ctrl=234)
E0,0.352721818486616,0.08179678985650882,4.312171897031346,1.7535507219688885e-5,0.1924001103678587,0.5130435266053732,0,log Emp,donut45 (n_ctrl=234)
E1,0.54778262050385,0.13444791032261819,4.074311152842785,4.9280721005576257e-5,0.28426471627151834,0.8113005247361815,1,log Emp,donut45 (n_ctrl=234)
E2,0.7232829403351522,0.11627439652449634,6.220483287417219,6.901405359577632e-10,0.49538512314713934,0.951180757523165,2,log Emp,donut45 (n_ctrl=234)
E3,0.677096623717821,0.13833442886867595,4.894635625095213,1.1235688927705537e-6,0.40596114313521614,0.9482321043004258,3,log Emp,donut45 (n_ctrl=234)
ref,0,NA,NA,NA,0,0,-1,log Emp,donut45 (n_ctrl=234)
